Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100087,Male,Yes,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,Y
LP100088,Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,Y
LP100089,Male,Yes,0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,Y
LP100090,Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,Y
LP100091,Male,Yes,2,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,Y
LP100092,Male,Yes,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,Y
LP100093,Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,Y
LP100094,Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,Y
LP100095,Male,No,0,Graduate,,6782,0.0,,360.0,,Urban,N
LP100096,Female,Yes,0,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,Y
LP100097,Male,Yes,0,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,Y
LP100098,Male,Yes,0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,Y
LP100099,Male,Yes,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,Y
LP100100,Male,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,Y
LP100101,Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,Y
LP100102,Male,Yes,,Graduate,No,13650,0.0,,360.0,1.0,Urban,Y
LP100103,Male,Yes,0,Graduate,No,4652,3583.0,,360.0,1.0,Semiurban,Y
LP100104,Male,,,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,Y
LP100105,Male,Yes,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,Y
LP100106,Male,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,Y
LP100107,Male,No,0,Not Graduate,,7333,0.0,120.0,360.0,1.0,Rural,N
LP100108,Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,N
LP100109,Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,Y
LP100110,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,Y
LP100111,Female,Yes,0,Graduate,,2929,2333.0,139.0,360.0,1.0,Semiurban,Y
LP100112,Male,Yes,0,Not Graduate,No,3572,4114.0,152.0,,0.0,Rural,N
LP100113,Female,No,1,Graduate,Yes,7451,0.0,,360.0,1.0,Semiurban,Y
LP100114,Male,No,0,Graduate,,5050,0.0,118.0,360.0,1.0,Semiurban,Y
LP100115,Male,Yes,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,Y
LP100116,Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,Y
LP100117,Male,Yes,1,Graduate,No,2214,1398.0,85.0,360.0,,Urban,Y
LP100118,Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,N
LP100119,Female,No,0,Graduate,No,10408,0.0,259.0,360.0,1.0,Urban,Y
LP100120,Male,Yes,,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,Y
LP100121,Female,No,0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,Y
LP100122,Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,Y
LP100123,Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,Y
LP100124,Male,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,Y
LP100125,Female,No,0,Graduate,No,3692,0.0,93.0,360.0,,Rural,Y
LP100126,,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,Y
LP100127,Male,No,0,Graduate,No,3865,1640.0,,360.0,1.0,Rural,Y
LP100128,Male,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,N
LP100129,Male,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,,Rural,N
LP100130,Male,No,0,Graduate,Yes,20166,0.0,650.0,480.0,,Urban,Y
LP100131,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,Y
LP100132,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,Y
LP100133,Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,Y
LP100134,Male,No,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,Y
LP100135,Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,N
LP100136,Female,Yes,0,Graduate,No,4583,0.0,84.0,360.0,1.0,Rural,N
LP100137,Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,Y
LP100138,Male,No,0,Graduate,No,14999,0.0,242.0,360.0,0.0,Semiurban,N
LP100139,Male,Yes,2,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,N
LP100140,Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,N
LP100141,Male,No,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,Y
LP100142,Male,No,0,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,Y
LP100143,Male,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,Y
LP100144,Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,Y
LP100145,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y
LP100146,Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,Y
LP100147,Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,Y
LP100148,Female,No,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,N
LP100149,Male,Yes,0,Graduate,No,4860,830.0,125.0,360.0,1.0,Semiurban,Y
LP100150,Male,No,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,N
LP100151,Male,Yes,0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,Y
LP100152,Male,No,0,Graduate,No,9166,0.0,244.0,360.0,1.0,Urban,N
LP100153,Male,Yes,2,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,N
LP100154,Male,No,0,Graduate,No,3254,0.0,50.0,360.0,1.0,Urban,Y
LP100155,Male,Yes,3+,Graduate,No,39999,0.0,600.0,180.0,0.0,Semiurban,Y
LP100156,Male,Yes,1,Graduate,No,6000,0.0,160.0,360.0,,Rural,Y
LP100157,Male,Yes,1,Graduate,No,9538,0.0,187.0,360.0,1.0,Urban,Y
LP100158,Male,No,0,Graduate,,2980,2083.0,120.0,360.0,1.0,Rural,Y
LP100159,Male,Yes,0,Graduate,No,4583,5625.0,255.0,360.0,1.0,Semiurban,Y
LP100160,Male,Yes,0,Not Graduate,No,1863,1041.0,98.0,360.0,1.0,Semiurban,Y
LP100161,Male,Yes,0,Graduate,No,7933,0.0,275.0,360.0,1.0,Urban,N
LP100162,Male,Yes,1,Graduate,No,3089,1280.0,121.0,360.0,0.0,Semiurban,N
LP100163,Male,Yes,2,Graduate,No,4167,1447.0,158.0,360.0,1.0,Rural,Y
LP100164,Male,Yes,0,Graduate,No,9323,0.0,75.0,180.0,1.0,Urban,Y
LP100165,Male,Yes,0,Graduate,No,3707,3166.0,182.0,,1.0,Rural,Y
LP100166,Female,Yes,0,Graduate,No,4583,0.0,112.0,360.0,1.0,Rural,N
LP100167,Male,Yes,0,Graduate,No,2439,3333.0,129.0,360.0,1.0,Rural,Y
LP100168,Male,No,0,Graduate,No,2237,0.0,63.0,480.0,0.0,Semiurban,N
LP100169,Male,Yes,2,Graduate,No,8000,0.0,200.0,360.0,1.0,Semiurban,Y
LP100170,Male,Yes,0,Not Graduate,,1820,1769.0,95.0,360.0,1.0,Rural,Y
LP100171,,Yes,3+,Graduate,No,51763,0.0,700.0,300.0,1.0,Urban,Y
LP100172,Male,Yes,3+,Not Graduate,No,3522,0.0,81.0,180.0,1.0,Rural,N
LP100173,Male,Yes,0,Graduate,No,5708,5625.0,187.0,360.0,1.0,Semiurban,Y
LP100174,Male,Yes,0,Not Graduate,Yes,4344,736.0,87.0,360.0,1.0,Semiurban,N
LP100175,Male,Yes,0,Graduate,No,3497,1964.0,116.0,360.0,1.0,Rural,Y
LP100176,Male,Yes,2,Graduate,No,2045,1619.0,101.0,360.0,1.0,Rural,Y
LP100177,Male,Yes,3+,Graduate,No,5516,11300.0,495.0,360.0,0.0,Semiurban,N
LP100178,Male,Yes,1,Graduate,No,3750,0.0,116.0,360.0,1.0,Semiurban,Y
LP100179,Male,No,0,Not Graduate,No,2333,1451.0,102.0,480.0,0.0,Urban,N
LP100180,Male,Yes,1,Graduate,No,6400,7250.0,180.0,360.0,0.0,Urban,N
LP100181,Male,No,0,Graduate,No,1916,5063.0,67.0,360.0,,Rural,N
LP100182,Male,Yes,0,Graduate,No,4600,0.0,73.0,180.0,1.0,Semiurban,Y
LP100183,Male,Yes,1,Graduate,No,33846,0.0,260.0,360.0,1.0,Semiurban,N
LP100184,Female,Yes,0,Graduate,No,3625,0.0,108.0,360.0,1.0,Semiurban,Y
LP100185,Male,Yes,0,Graduate,Yes,39147,4750.0,120.0,360.0,1.0,Semiurban,Y
LP100186,Male,Yes,1,Graduate,Yes,2178,0.0,66.0,300.0,0.0,Rural,N
LP100187,Male,Yes,0,Graduate,No,2383,2138.0,58.0,360.0,,Rural,Y
LP100188,,Yes,0,Graduate,Yes,674,5296.0,168.0,360.0,1.0,Rural,Y
LP100189,Male,Yes,0,Graduate,No,9328,0.0,188.0,180.0,1.0,Rural,Y
LP100190,Male,No,0,Not Graduate,No,4885,0.0,48.0,360.0,1.0,Rural,Y
LP100191,Male,No,0,Graduate,No,12000,0.0,164.0,360.0,1.0,Semiurban,N
LP100192,Male,Yes,0,Not Graduate,No,6033,0.0,160.0,360.0,1.0,Urban,N
LP100193,Male,No,0,Graduate,No,3858,0.0,76.0,360.0,1.0,Semiurban,Y
LP100194,Male,No,0,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,Y
LP100195,Male,Yes,1,Graduate,No,3125,2583.0,170.0,360.0,1.0,Semiurban,N
LP100196,Male,No,0,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural,Y
LP100197,Female,No,0,Not Graduate,No,1907,2365.0,120.0,,1.0,Urban,Y
LP100198,Female,Yes,0,Graduate,No,3416,2816.0,113.0,360.0,,Semiurban,Y
LP100199,Male,No,0,Graduate,Yes,11000,0.0,83.0,360.0,1.0,Urban,N
LP100200,Male,Yes,1,Not Graduate,No,2600,2500.0,90.0,360.0,1.0,Semiurban,Y
LP100201,Male,No,2,Graduate,No,4923,0.0,166.0,360.0,0.0,Semiurban,Y
LP100202,Male,Yes,3+,Not Graduate,No,3992,0.0,,180.0,1.0,Urban,N
LP100203,Male,Yes,1,Not Graduate,No,3500,1083.0,135.0,360.0,1.0,Urban,Y
LP100204,Male,Yes,2,Not Graduate,No,3917,0.0,124.0,360.0,1.0,Semiurban,Y
LP100205,Female,No,0,Not Graduate,No,4408,0.0,120.0,360.0,1.0,Semiurban,Y
LP100206,Female,No,0,Graduate,No,3244,0.0,80.0,360.0,1.0,Urban,Y
LP100207,Male,No,0,Not Graduate,No,3975,2531.0,55.0,360.0,1.0,Rural,Y
LP100208,Male,No,0,Graduate,No,2479,0.0,59.0,360.0,1.0,Urban,Y
LP100209,Male,No,0,Graduate,No,3418,0.0,127.0,360.0,1.0,Semiurban,N
LP100210,Female,No,0,Graduate,No,10000,0.0,214.0,360.0,1.0,Semiurban,N
LP100211,Male,Yes,3+,Graduate,No,3430,1250.0,128.0,360.0,0.0,Semiurban,N
LP100212,Male,Yes,1,Graduate,Yes,7787,0.0,240.0,360.0,1.0,Urban,Y
LP100213,Male,Yes,3+,Not Graduate,Yes,5703,0.0,130.0,360.0,1.0,Rural,Y
LP100214,Male,Yes,0,Graduate,No,3173,3021.0,137.0,360.0,1.0,Urban,Y
LP100215,Male,Yes,3+,Not Graduate,No,3850,983.0,100.0,360.0,1.0,Semiurban,Y
LP100216,Male,Yes,0,Graduate,No,150,1800.0,135.0,360.0,1.0,Rural,N
LP100217,Male,Yes,0,Graduate,No,3727,1775.0,131.0,360.0,1.0,Semiurban,Y
LP100218,Male,Yes,2,Graduate,,5000,0.0,72.0,360.0,0.0,Semiurban,N
LP100219,Female,Yes,2,Graduate,No,4283,2383.0,127.0,360.0,,Semiurban,Y
LP100220,Male,Yes,0,Graduate,No,2221,0.0,60.0,360.0,0.0,Urban,N
LP100221,Male,Yes,2,Graduate,No,4009,1717.0,116.0,360.0,1.0,Semiurban,Y
LP100222,Male,No,0,Graduate,No,2971,2791.0,144.0,360.0,1.0,Semiurban,Y
LP100223,Male,Yes,0,Graduate,No,7578,1010.0,175.0,,1.0,Semiurban,Y
LP100224,Male,Yes,0,Graduate,No,6250,0.0,128.0,360.0,1.0,Semiurban,Y
LP100225,Male,Yes,0,Graduate,No,3250,0.0,170.0,360.0,1.0,Rural,N
LP100226,Male,Yes,,Not Graduate,Yes,4735,0.0,138.0,360.0,1.0,Urban,N
LP100227,Male,Yes,2,Graduate,No,6250,1695.0,210.0,360.0,1.0,Semiurban,Y
LP100228,Male,,,Graduate,No,4758,0.0,158.0,480.0,1.0,Semiurban,Y
LP100229,Male,No,0,Graduate,Yes,6400,0.0,200.0,360.0,1.0,Rural,Y
LP100230,Male,Yes,1,Graduate,No,2491,2054.0,104.0,360.0,1.0,Semiurban,Y
LP100231,Male,Yes,0,Graduate,,3716,0.0,42.0,180.0,1.0,Rural,Y
LP100232,Male,No,0,Not Graduate,No,3189,2598.0,120.0,,1.0,Rural,Y
LP100233,Female,No,0,Graduate,No,8333,0.0,280.0,360.0,1.0,Semiurban,Y
LP100234,Male,Yes,1,Graduate,No,3155,1779.0,140.0,360.0,1.0,Semiurban,Y
LP100235,Male,Yes,1,Graduate,No,5500,1260.0,170.0,360.0,1.0,Rural,Y
LP100236,Male,Yes,0,Graduate,,5746,0.0,255.0,360.0,,Urban,N
LP100237,Female,No,0,Graduate,Yes,3463,0.0,122.0,360.0,,Urban,Y
LP100238,Female,No,1,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,Y
LP100239,Male,Yes,1,Graduate,No,3315,0.0,96.0,360.0,1.0,Semiurban,Y
LP100240,Male,Yes,2,Graduate,No,5819,5000.0,120.0,360.0,1.0,Rural,Y
LP100241,Male,Yes,1,Not Graduate,No,2510,1983.0,140.0,180.0,1.0,Urban,N
LP100242,Male,No,0,Graduate,No,2965,5701.0,155.0,60.0,1.0,Urban,Y
LP100243,Male,Yes,2,Graduate,Yes,6250,1300.0,108.0,360.0,1.0,Rural,Y
LP100244,Male,Yes,0,Not Graduate,No,3406,4417.0,123.0,360.0,1.0,Semiurban,Y
LP100245,Male,No,0,Graduate,Yes,6050,4333.0,120.0,180.0,1.0,Urban,N
LP100246,Male,Yes,2,Graduate,No,9703,0.0,112.0,360.0,1.0,Urban,Y
LP100247,Male,Yes,1,Not Graduate,No,6608,0.0,137.0,180.0,1.0,Urban,Y
LP100248,Male,Yes,1,Graduate,No,2882,1843.0,123.0,480.0,1.0,Semiurban,Y
LP100249,Male,Yes,0,Graduate,No,1809,1868.0,90.0,360.0,1.0,Urban,Y
LP100250,Male,Yes,0,Not Graduate,No,1668,3890.0,201.0,360.0,0.0,Semiurban,N
LP100251,Female,No,2,Graduate,No,3427,0.0,138.0,360.0,1.0,Urban,N
LP100252,Male,No,0,Not Graduate,Yes,2583,2167.0,104.0,360.0,1.0,Rural,Y
LP100253,Male,Yes,1,Not Graduate,No,2661,7101.0,279.0,180.0,1.0,Semiurban,Y
LP100254,Male,No,0,Graduate,Yes,16250,0.0,192.0,360.0,0.0,Urban,N
LP100255,Female,No,3+,Graduate,No,3083,0.0,255.0,360.0,1.0,Rural,Y
LP100256,Male,No,0,Not Graduate,No,6045,0.0,115.0,360.0,0.0,Rural,N
LP100257,Male,Yes,3+,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,N
LP100258,Male,Yes,0,Graduate,No,14683,2100.0,304.0,360.0,1.0,Rural,N
LP100259,Male,Yes,3+,Not Graduate,No,4931,0.0,128.0,360.0,,Semiurban,N
LP100260,Male,Yes,1,Graduate,No,6083,4250.0,330.0,360.0,,Urban,Y
LP100261,Male,No,0,Graduate,No,2060,2209.0,134.0,360.0,1.0,Semiurban,Y
LP100262,Female,No,1,Graduate,No,3481,0.0,155.0,36.0,1.0,Semiurban,N
LP100263,Female,No,0,Graduate,No,7200,0.0,120.0,360.0,1.0,Rural,Y
LP100264,Male,No,0,Graduate,Yes,5166,0.0,128.0,360.0,1.0,Semiurban,Y
LP100265,Male,No,0,Graduate,No,4095,3447.0,151.0,360.0,1.0,Rural,Y
LP100266,Male,Yes,2,Graduate,No,4708,1387.0,150.0,360.0,1.0,Semiurban,Y
LP100267,Male,Yes,3+,Graduate,No,4333,1811.0,160.0,360.0,0.0,Urban,Y
LP100268,Female,No,0,Graduate,,3418,0.0,135.0,360.0,1.0,Rural,N
LP100269,Female,No,1,Graduate,No,2876,1560.0,90.0,360.0,1.0,Urban,Y
LP100270,Female,No,0,Graduate,No,3237,0.0,30.0,360.0,1.0,Urban,Y
LP100271,Male,Yes,0,Graduate,No,11146,0.0,136.0,360.0,1.0,Urban,Y
LP100272,Male,No,0,Graduate,No,2833,1857.0,126.0,360.0,1.0,Rural,Y
LP100273,Male,Yes,0,Graduate,No,2620,2223.0,150.0,360.0,1.0,Semiurban,Y
LP100274,Male,Yes,2,Graduate,No,3900,0.0,90.0,360.0,1.0,Semiurban,Y
LP100275,Male,Yes,1,Graduate,No,2750,1842.0,115.0,360.0,1.0,Semiurban,Y
LP100276,Male,Yes,0,Graduate,No,3993,3274.0,207.0,360.0,1.0,Semiurban,Y
LP100277,Male,Yes,0,Graduate,No,3103,1300.0,80.0,360.0,1.0,Urban,Y
LP100278,Male,Yes,0,Graduate,No,14583,0.0,436.0,360.0,1.0,Semiurban,Y
LP100279,Female,Yes,0,Not Graduate,No,4100,0.0,124.0,360.0,,Rural,Y
LP100280,Male,No,1,Not Graduate,Yes,4053,2426.0,158.0,360.0,0.0,Urban,N
LP100281,Male,Yes,0,Graduate,No,3927,800.0,112.0,360.0,1.0,Semiurban,Y
LP100282,Male,Yes,2,Graduate,No,2301,985.7999878,78.0,180.0,1.0,Urban,Y
LP100283,Female,No,0,Graduate,No,1811,1666.0,54.0,360.0,1.0,Urban,Y
LP100284,Male,Yes,0,Graduate,No,20667,0.0,,360.0,1.0,Rural,N
LP100285,Male,No,0,Graduate,No,3158,3053.0,89.0,360.0,1.0,Rural,Y
LP100286,Female,No,0,Graduate,Yes,2600,1717.0,99.0,300.0,1.0,Semiurban,N
LP100287,Male,Yes,0,Graduate,No,3704,2000.0,120.0,360.0,1.0,Rural,Y
LP100288,Female,No,0,Graduate,No,4124,0.0,115.0,360.0,1.0,Semiurban,Y
LP100289,Male,No,0,Graduate,No,9508,0.0,187.0,360.0,1.0,Rural,Y
LP100290,Male,Yes,0,Graduate,No,3075,2416.0,139.0,360.0,1.0,Rural,Y
